id_student,code_module,code_presentation,score,total_clicks,days_active,engagement_decline,log_total_clicks,log_early_clicks,engagement_rate,last_score
6516,AAA,2014J,61.8,2791.0,293.0,0.987499993828125,7.934513463882263,5.081404364984463,9.525597269624573,77.0
8462,DDD,2013J,87.66666666666667,646.0,125.0,0.929530198223053,6.472346294500901,5.700443573390686,5.168,87.0
8462,DDD,2014J,86.5,10.0,1.0,0.0,2.3978952727983707,2.3978952727983707,10.0,87.0
11391,AAA,2013J,82.0,934.0,259.0,0.6910298980364455,6.840546529288687,5.71042701737487,3.606177606177606,82.0
23629,BBB,2013B,82.5,161.0,94.0,0.1351351314828343,5.087596335232384,3.6375861597263857,1.7127659574468086,100.0
23698,CCC,2014J,74.44444444444444,910.0,250.0,0.9828571372408164,6.814542897259958,5.170483995038151,3.64,80.0
23798,BBB,2013J,93.9090909090909,590.0,272.0,0.9682539528848579,6.3818160174060985,4.1588830833596715,2.1691176470588234,100.0
24186,GGG,2014B,62.5,184.0,245.0,0.7142856632653098,5.220355825078325,2.70805020110221,0.7510204081632653,60.0
24213,DDD,2014B,76.28571428571429,1992.0,249.0,0.34782608317580344,7.597396320212795,4.532599493153256,8.0,58.0
24391,GGG,2013J,88.88888888888889,712.0,248.0,0.9687499697265636,6.569481420414296,3.4965075614664802,2.870967741935484,100.0
24734,AAA,2014J,46.8,499.0,271.0,0.7333333088888897,6.214608098422191,3.4339872044851463,1.8413284132841328,48.0
25107,BBB,2013B,77.36363636363636,2562.0,248.0,-0.8979591775649036,7.848933726364071,2.772588722239781,10.330645161290322,100.0
25150,EEE,2014B,84.25,2103.0,249.0,-0.43103447532699185,7.651595573857601,3.5263605246161616,8.44578313253012,78.0
25261,CCC,2014J,78.0,997.0,85.0,0.9753086299344614,6.905753276311464,4.406719247264253,11.729411764705882,78.0
25572,DDD,2014J,55.0,113.0,117.0,0.7142856122449125,4.736198448394496,2.0794415416798357,0.9658119658119658,30.0
25997,BBB,2014B,86.5,13.0,1.0,0.0,2.639057329615259,2.639057329615259,13.0,100.0
26023,GGG,2013J,88.0,786.0,268.0,-0.5384615315581855,6.668228248417403,3.6109179126442243,2.9328358208955225,100.0
26192,AAA,2014J,86.2,2223.0,269.0,0.7925311170434394,7.707062655370473,5.488937726156687,8.263940520446097,88.0
26211,FFF,2014B,89.25,15205.0,260.0,-0.6992481189863757,9.629445365788381,5.081404364984463,58.48076923076923,91.0
26247,FFF,2013J,88.0,478.0,38.0,-0.34883720795024337,6.171700597410915,5.1298987149230735,12.578947368421053,88.0
26315,BBB,2014J,51.4,2451.0,267.0,0.9820788495265991,7.804659297056102,5.634789603169249,9.179775280898877,62.0
